"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","fanpos","position"
"354","roblv001","Nationals","Victor Robles",451.5,144,313.02167910081,79.8073102905832,36.7540139512193,"OF","OF"
"355","rodrr009","Tigers","Ronny Rodriguez",58.5,20,NA,NA,NA,"2B","SS"
"356","rojam002","Marlins","Miguel Rojas",168.5,64,265.355975783153,67.0805711178152,31.8184227801271,"SS","SS"
"357","romia002","Yankees","Austin Romine",86,30,264.759582159781,61.6426854619562,31.2654165039315,"C","C"
"358","rondj002","White Sox","Jose Rondon",98,35,NA,NA,NA,"SS","SS"
"359","rosaa003","Mets","Amed Rosario",454,152,367.747810607935,93.5939989598955,43.6387706882883,"SS","SS"
"360","rosae001","Twins","Eddie Rosario",535.5,153,368.908867901803,110.135762082522,42.3093393545998,"OF","OF"
"361","ruizr002","Orioles","Rio Ruiz",312.5,108,172.880524438372,31.3658657098254,19.4818933605257,"3B","3B"
"362","russa002","Cubs","Addison Russell",263,88,368.646385104372,91.4131425153338,41.1758891247943,"SS","SS"
"363","salat001","Padres","Tyler Saladino",58,20,241.816890595149,59.0888420264003,27.8899713628129,"2B","SS"
"364","sanca007","Nationals","Adrian Sanchez",31.5,12,217.886877864521,41.2347166329354,25.4499465015757,"2B","2B"
"365","sancg002","Yankees","Gary Sanchez",484.5,129,325.23192431928,77.6283085005389,38.0306086650517,"C","C"
"366","sandp001","Giants","Pablo Sandoval",50.5,19,264.813973356227,55.3262566965158,31.4315620734265,"3B","3B"
"367","sanom001","Twins","Miguel Sano",435.5,123,347.80518648805,73.1562073887848,41.3462188450518,"3B","3B"
"368","santa003","Orioles","Anthony Santander",25,8,271.146599255296,55.6861943351037,31.6785674906175,"OF","OF"
"369","santc002","Indians","Carlos Santana",529.5,150,310.050133942623,90.6270057559578,34.773197500307,"1B","1B"
"370","santd002","Mariners","Domingo Santana",460.5,143,356.204292787551,76.3950361244452,40.4445859288219,"OF","OF"
"371","sches001","Reds","Scott Schebler",491.5,149,375.160246726582,102.622229852404,43.0269280800032,"OF","OF"
"372","schoj001","Twins","Jonathan Schoop",389,117,373.682514521801,92.3176817959561,42.4216080708425,"2B","2B"
"373","schwk001","Cubs","Kyle Schwarber",512,137,362.46909095619,103.486614183811,42.4857803401747,"OF","OF"
"374","seagc001","Dodgers","Corey Seager",541.5,152,344.308207294082,76.4994246231604,40.0768774747682,"SS","SS"
"375","seagk001","Mariners","Kyle Seager",290,92,345.006975027208,87.5204669831756,38.0592103561345,"3B","3B"
"376","seguj002","Phillies","Jean Segura",489,152,331.396083834964,91.5575934725773,39.2078021298467,"2B","SS"
"377","semim001","Athletics","Marcus Semien",486.5,153,366.273744445186,97.7545821111731,43.3479450881429,"SS","SS"
"378","sevep001","Orioles","Pedro Severino",119.5,46,266.649758393051,51.1482533039139,30.9501083697898,"C","C"
