"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","position","points_sum_lag1","games_count_lag1","games_above_count_lag1","points_sd_lag1"
"168","gantj002","Cardinals","John Gant",159,35,323.928458927821,27.7269823826802,6.79206968317344,"S",240,26,11,6.39480291123223
"169","garcj006","Marlins","Jarlin Garcia",193,50,196.789231367835,26.8547109506122,5.49503923757764,"R",139,29,4,7.10712463519433
"170","garcl005","Angels","Luis Garcia",172,40,56.4685091847978,35.5083911125513,0.801268191297251,"R",222,59,2,4.59751759082246
"171","garcy001","Dodgers","Yimi Garcia",86.5,25,NA,NA,NA,"R",NA,NA,NA,NA
"172","gardn001","Rangers","Nick Gardewine",113.5,35,21.7715533271476,19.8172285322425,-2.70461093724349,"R",17.5,3,0,3.75277674973257
"173","garra001","Reds","Amir Garrett",299.5,65,52.8376365521195,40.7439486775966,1.95013481232304,"R",331.5,66,3,3.98317898677863
"174","gausk001","Braves","Kevin Gausman",335.5,26,384.136392676074,30.8792820802129,4.24768371330492,"S",394.833333333333,31,19,9.27499368009652
"175","gavis001","Blue Jays","Sam Gaviglio",131.5,33,328.210741316843,26.3874634966266,3.61358684542316,"S",209.833333333333,26,10,8.16594188306571
"176","gearc001","Mariners","Cory Gearrin",217,50,52.1031783096977,35.103755033424,-0.535173047317608,"R",274.666666666667,62,1,3.61192978647421
"177","germd001","Yankees","Domingo German",121,16,286.073155713003,25.3396798194799,3.53137203128784,"S",178.833333333333,21,9,8.9834577545349
"178","gibsk002","Twins","Kyle Gibson",383.5,32,426.091794026752,33.0811112789721,8.03465925393666,"S",438.333333333333,32,24,6.82912767247949
"179","gilek001","Blue Jays","Ken Giles",406.5,65,54.4827243333013,27.8985451750387,-0.64483603019957,"C",315.166666666667,55,2,4.62264186453014
"180","gilms001","Orioles","Sean Gilmartin",32,10,56.2073539955667,25.7899168124598,1.52120280797938,"R",80.5,12,3,5.93573538371233
"181","gioll001","White Sox","Lucas Giolito",221,24,320.953757493918,24.1156397984623,5.98306426610757,"S",213.666666666667,32,12,11.001949770178
"182","givem001","Orioles","Mychal Givens",389.5,65,45.5397834681524,35.312022692973,-0.380502073867683,"R",364.333333333333,69,5,4.05754086493373
"183","glast001","Rays","Tyler Glasnow",317.5,24,183.8858075964,34.578188925604,6.11257881517421,"R",331.833333333333,45,13,7.17257997370798
"184","glovk001","Nationals","Koda Glover",169,40,58.9275646509455,27.8360114356045,-0.56357679708896,"R",74.1666666666667,22,0,3.44070399241841
"185","godlz001","Diamondbacks","Zack Godley",332,28,388.803232708317,30.7136280551018,8.04077985452988,"S",348.166666666667,33,17,9.9298306226887
"186","gohal001","Braves","Luiz Gohara",16.5,2,119.795692881596,23.1358356873411,5.46226633860168,"R",51.8333333333333,9,1,6.9061723153555
"187","gomba001","Cardinals","Austin Gomber",36,3,NA,NA,NA,"R",NA,NA,NA,NA
"188","gomej002","Rangers","Jeanmar Gomez",34,10,-17.3236604122341,22.926976421624,-1.13924851542593,"R",118.5,26,1,3.70733276619678
"189","gonss001","Twins","Stephen Gonsalves",76.5,8,NA,NA,NA,"S",NA,NA,NA,NA
"190","gonzg003","Yankees","Gio Gonzalez",87,8,353.2506243319,29.8580753734363,3.62554126645415,"S",314.5,32,17,9.31435131702628
"191","gonzm005","Mariners","Marco Gonzales",369.5,31,399.402063508682,29.4256082909116,6.32699511549581,"S",374.333333333333,29,20,8.25746249876108
"192","gonzm007","Giants","Merandy Gonzalez",12.5,2,NA,NA,NA,"R",NA,NA,NA,NA
"193","gonzm007","Giants","Merandy Gonzalez",30,10,NA,NA,NA,"R",NA,NA,NA,NA
"194","goodn001","Indians","Nick Goody",105,30,63.7217254815031,25.6969549856192,-1.76375117035011,"R",49.8333333333333,12,0,3.9882772244235
"195","gottt001","Giants","Trevor Gott",37,10,60.8270975090102,28.0028233437916,-0.82262667391855,"R",77.5,20,0,3.21949244120053
"196","gracm003","Nationals","Matt Grace",158,40,55.3394591918847,34.6841879865718,-0.0554989780885271,"R",280.833333333333,56,2,3.49115430329402
"197","grayj003","Rockies","Jon Gray",322,26,340.564510239301,28.7432625461503,4.94248479347596,"S",352.166666666667,31,15,10.6813351203026
"198","grays001","Reds","Sonny Gray",320,28,334.80647199567,31.6067742752522,5.27804681474848,"S",252.166666666667,30,16,10.4696865228913
"199","greec003","Yankees","Chad Green",342,70,54.7894670587566,40.9438502778252,-0.784762720095771,"R",411.833333333333,63,8,3.61850635095032
"200","grees005","Tigers","Shane Greene",371.5,65,59.9044297934424,27.2721489310415,-0.917555655683069,"C",355.666666666667,66,3,4.39233338814264
"201","gregl001","Cardinals","Luke Gregerson",239,50,52.4822643774107,25.5971327866045,-0.369565439976819,"R",40.3333333333333,17,0,3.82495888311448
"202","greiz001","Diamondbacks","Zack Greinke",453,31,329.915419430646,34.2406796297279,2.04976070443529,"S",536.833333333333,33,27,6.21140016448522
